file,speeches
H509121.txt,83
H509122.txt,88
H509123.txt,139
H509124.txt,35
H509125.txt,118
H509126.txt,43
H509127.txt,97
H509128.txt,112
H509129.txt,79
H509130.txt,93
H509131.txt,227
H509132.txt,168
H509133.txt,67
H509134.txt,108
H509135.txt,109
H509136.txt,127
H509137.txt,40
H509138.txt,12
H509139.txt,63
H509140.txt,5
H509141.txt,0
H509142.txt,27
H50974.txt,43
H50975.txt,28
H50976.txt,175
H50977.txt,185
H50978.txt,10
H50979.txt,51
H50980.txt,135
H50981.txt,140
H50982.txt,50
H50983.txt,111
H50984.txt,29
H50985.txt,90
H50986.txt,50
H50987.txt,31
H50988.txt,137
H50989.txt,168
H50990.txt,35
H50991.txt,77
H50992.txt,61
H50993.txt,85
H6091.txt,19
H609100.txt,44
H609101.txt,213
H609102.txt,111
H609103.txt,186
H609104.txt,227
H609105.txt,142
H609106.txt,79
H609107.txt,175
H609108.txt,48
H609109.txt,22
H609110.txt,162
H609111.txt,64
H609112.txt,8
H60916.txt,51
H60917.txt,14
H60918.txt,0
H60919.txt,96
H6092.txt,5
H60920.txt,12
H60921.txt,0
H60922.txt,66
H60923.txt,0
H60924.txt,31
H60925.txt,0
H60926.txt,29
H60927.txt,60
H60928.txt,0
H60929.txt,93
H6093.txt,0
H60930.txt,92
H60931.txt,183
H60932.txt,199
H60933.txt,228
H60934.txt,177
H60935.txt,38
H6094.txt,0
H60951.txt,140
H60952.txt,171
H60953.txt,183
H60954.txt,82
H60955.txt,24
H60956.txt,151
H60957.txt,154
H60958.txt,28
H60959.txt,95
H60960.txt,86
H60961.txt,96
H60962.txt,86
H60963.txt,111
H60964.txt,111
H60965.txt,93
H60966.txt,15
H60967.txt,79
H60968.txt,138
H60969.txt,161
H60970.txt,42
H60991.txt,72
H60992.txt,40
H60993.txt,154
H60994.txt,116
H60995.txt,22
H60996.txt,110
H60997.txt,53
H60998.txt,85
H60999.txt,108
H7091.txt,0
H70910.txt,95
H70911.txt,16
H709126.txt,89
H709127.txt,57
H709128.txt,66
H709129.txt,18
H709130.txt,39
H709131.txt,82
H709132.txt,142
H709133.txt,7
H709134.txt,36
H709135.txt,57
H709136.txt,192
H709137.txt,155
H709138.txt,30
H709139.txt,120
H709140.txt,83
H709141.txt,45
H709142.txt,66
H709143.txt,66
H709144.txt,0
H709145.txt,0
H709146.txt,77
H709147.txt,22
H709148.txt,31
H7092.txt,1
H7093.txt,107
H70937.txt,54
H70938.txt,124
H70939.txt,163
H7094.txt,8
H70940.txt,75
H70941.txt,170
H70942.txt,15
H70943.txt,41
H70944.txt,201
H70945.txt,123
H70946.txt,90
H70947.txt,7
H70948.txt,31
H70949.txt,224
H7095.txt,15
H70950.txt,188
H70951.txt,108
H70952.txt,200
H70953.txt,156
H70954.txt,147
H70955.txt,80
H70956.txt,44
H7096.txt,88
H7097.txt,91
H70978.txt,116
H70979.txt,15
H7098.txt,29
H70980.txt,132
H70981.txt,74
H70982.txt,95
H70983.txt,106
H70984.txt,47
H70985.txt,117
H70986.txt,140
H70987.txt,64
H70988.txt,81
H70989.txt,0
H7099.txt,47
H70990.txt,74
H70991.txt,7
H70992.txt,0
H70993.txt,45
H70994.txt,89
H70995.txt,45
H70996.txt,0
H70997.txt,7
H8091.txt,0
H80910.txt,37
H809100.txt,127
H809101.txt,134
H80911.txt,80
H80912.txt,8
H80913.txt,8
H809130.txt,96
H809131.txt,84
H809132.txt,160
H809133.txt,129
H809134.txt,39
H809135.txt,114
H809136.txt,76
H809137.txt,216
H809138.txt,139
H809139.txt,38
H80914.txt,124
H809140.txt,108
H809141.txt,90
H809142.txt,114
H809143.txt,105
H809144.txt,125
H809145.txt,138
H809146.txt,153
H809147.txt,85
H809148.txt,0
H809149.txt,0
H80915.txt,31
H809152.txt,9
H809153.txt,2
H809154.txt,0
H809155.txt,51
H809156.txt,114
H809157.txt,152
H809158.txt,106
H80916.txt,0
H80917.txt,56
H8092.txt,1
H8093.txt,30
H80938.txt,57
H80939.txt,42
H8094.txt,106
H80940.txt,133
H80941.txt,128
H80942.txt,170
H80943.txt,63
H80944.txt,62
H80945.txt,159
H80946.txt,139
H80947.txt,88
H80948.txt,46
H80949.txt,77
H8095.txt,160
H80950.txt,190
H80951.txt,250
H80952.txt,146
H80953.txt,221
H80954.txt,223
H80955.txt,281
H80956.txt,59
H80957.txt,64
H8096.txt,15
H8097.txt,47
H8098.txt,78
H80982.txt,132
H80983.txt,196
H80984.txt,193
H80985.txt,94
H80986.txt,148
H80987.txt,206
H80988.txt,130
H80989.txt,193
H8099.txt,88
H80990.txt,108
