dok_id,rm,beteckning,titel,datum,debattnamn,dok_url_html,dok_url_text,date,year,month
H50974,2017/18,74,Protokoll 2017/18:74 Fredagen den 16 februari,2018-02-16,Protokoll,//data.riksdagen.se/dokument/H50974.html,//data.riksdagen.se/dokument/H50974.text,2018-02-16,2018,2
H50975,2017/18,75,Protokoll 2017/18:75 Tisdagen den 27 februari,2018-02-27,Protokoll,//data.riksdagen.se/dokument/H50975.html,//data.riksdagen.se/dokument/H50975.text,2018-02-27,2018,2
H50976,2017/18,76,Protokoll 2017/18:76 Onsdagen den 28 februari,2018-02-28,Protokoll,//data.riksdagen.se/dokument/H50976.html,//data.riksdagen.se/dokument/H50976.text,2018-02-28,2018,2
H50977,2017/18,77,Protokoll 2017/18:77 Torsdagen den 1 mars,2018-03-01,Protokoll,//data.riksdagen.se/dokument/H50977.html,//data.riksdagen.se/dokument/H50977.text,2018-03-01,2018,3
H50978,2017/18,78,Protokoll 2017/18:78 Fredagen den 2 mars,2018-03-02,Protokoll,//data.riksdagen.se/dokument/H50978.html,//data.riksdagen.se/dokument/H50978.text,2018-03-02,2018,3
H50979,2017/18,79,Protokoll 2017/18:79 Tisdagen den 6 mars,2018-03-06,Protokoll,//data.riksdagen.se/dokument/H50979.html,//data.riksdagen.se/dokument/H50979.text,2018-03-06,2018,3
H50980,2017/18,80,Protokoll 2017/18:80 Onsdagen den 7 mars,2018-03-07,Protokoll,//data.riksdagen.se/dokument/H50980.html,//data.riksdagen.se/dokument/H50980.text,2018-03-07,2018,3
H50981,2017/18,81,Protokoll 2017/18:81 Torsdagen den 8 mars,2018-03-08,Protokoll,//data.riksdagen.se/dokument/H50981.html,//data.riksdagen.se/dokument/H50981.text,2018-03-08,2018,3
H50982,2017/18,82,Protokoll 2017/18:82 Fredagen den 9 mars,2018-03-09,Protokoll,//data.riksdagen.se/dokument/H50982.html,//data.riksdagen.se/dokument/H50982.text,2018-03-09,2018,3
H50983,2017/18,83,Protokoll 2017/18:83 Tisdagen den 13 mars,2018-03-13,Protokoll,//data.riksdagen.se/dokument/H50983.html,//data.riksdagen.se/dokument/H50983.text,2018-03-13,2018,3
H50984,2017/18,84,Protokoll 2017/18:84 Onsdagen den 14 mars,2018-03-14,Protokoll,//data.riksdagen.se/dokument/H50984.html,//data.riksdagen.se/dokument/H50984.text,2018-03-14,2018,3
H50985,2017/18,85,Protokoll 2017/18:85 Torsdagen den 15 mars,2018-03-15,Protokoll,//data.riksdagen.se/dokument/H50985.html,//data.riksdagen.se/dokument/H50985.text,2018-03-15,2018,3
H50986,2017/18,86,Protokoll 2017/18:86 Fredagen den 16 mars,2018-03-16,Protokoll,//data.riksdagen.se/dokument/H50986.html,//data.riksdagen.se/dokument/H50986.text,2018-03-16,2018,3
H50987,2017/18,87,Protokoll 2017/18:87 Tisdagen den 20 mars,2018-03-20,Protokoll,//data.riksdagen.se/dokument/H50987.html,//data.riksdagen.se/dokument/H50987.text,2018-03-20,2018,3
H50988,2017/18,88,Protokoll 2017/18:88 Onsdagen den 21 mars,2018-03-21,Protokoll,//data.riksdagen.se/dokument/H50988.html,//data.riksdagen.se/dokument/H50988.text,2018-03-21,2018,3
H50989,2017/18,89,Protokoll 2017/18:89 Torsdagen den 22 mars,2018-03-22,Protokoll,//data.riksdagen.se/dokument/H50989.html,//data.riksdagen.se/dokument/H50989.text,2018-03-22,2018,3
H50990,2017/18,90,Protokoll 2017/18:90 Fredagen den 23 mars,2018-03-23,Protokoll,//data.riksdagen.se/dokument/H50990.html,//data.riksdagen.se/dokument/H50990.text,2018-03-23,2018,3
H50991,2017/18,91,Protokoll 2017/18:91 Måndagen den 26 mars,2018-03-26,Protokoll,//data.riksdagen.se/dokument/H50991.html,//data.riksdagen.se/dokument/H50991.text,2018-03-26,2018,3
H50992,2017/18,92,Protokoll 2017/18:92 Tisdagen den 27 mars,2018-03-27,Protokoll,//data.riksdagen.se/dokument/H50992.html,//data.riksdagen.se/dokument/H50992.text,2018-03-27,2018,3
H50993,2017/18,93,Protokoll 2017/18:93 Onsdagen den 28 mars,2018-03-28,Protokoll,//data.riksdagen.se/dokument/H50993.html,//data.riksdagen.se/dokument/H50993.text,2018-03-28,2018,3
H509121,2017/18,121,Protokoll 2017/18:121 Tisdagen den 29 maj,2018-05-29,Protokoll,//data.riksdagen.se/dokument/H509121.html,//data.riksdagen.se/dokument/H509121.text,2018-05-29,2018,5
H509122,2017/18,122,Protokoll 2017/18:122 Onsdagen den 30 maj,2018-05-30,Protokoll,//data.riksdagen.se/dokument/H509122.html,//data.riksdagen.se/dokument/H509122.text,2018-05-30,2018,5
H509123,2017/18,123,Protokoll 2017/18:123 Torsdagen den 31 maj,2018-05-31,Protokoll,//data.riksdagen.se/dokument/H509123.html,//data.riksdagen.se/dokument/H509123.text,2018-05-31,2018,5
H509124,2017/18,124,Protokoll 2017/18:124 Fredagen den 1 juni,2018-06-01,Protokoll,//data.riksdagen.se/dokument/H509124.html,//data.riksdagen.se/dokument/H509124.text,2018-06-01,2018,6
H509125,2017/18,125,Protokoll 2017/18:125 Måndagen den 4 juni,2018-06-04,Protokoll,//data.riksdagen.se/dokument/H509125.html,//data.riksdagen.se/dokument/H509125.text,2018-06-04,2018,6
H509126,2017/18,126,Protokoll 2017/18:126 Tisdagen den 5 juni,2018-06-05,Protokoll,//data.riksdagen.se/dokument/H509126.html,//data.riksdagen.se/dokument/H509126.text,2018-06-05,2018,6
H509127,2017/18,127,Protokoll 2017/18:127 Torsdagen den 7 juni,2018-06-07,Protokoll,//data.riksdagen.se/dokument/H509127.html,//data.riksdagen.se/dokument/H509127.text,2018-06-07,2018,6
